640 427   
136 120 71 
137 121 72 
136 122 73 
137 123 74 
137 125 75 
138 126 76 
137 127 76 
137 127 76 
138 131 79 
138 131 79 
139 132 80 
139 133 81 
140 134 82 
139 136 83 
139 136 83 
140 137 84 
141 138 87 
140 138 87 
141 139 88 
141 139 88 
141 141 89 
141 141 89 
140 143 90 
140 143 90 
141 144 91 
141 144 91 
141 144 91 
142 145 92 
143 146 93 
143 146 93 
143 146 93 
144 147 94 
145 147 97 
146 148 98 
145 149 98 
145 149 98 
145 149 98 
144 151 99 
144 151 99 
144 151 99 
145 154 99 
145 154 99 
145 154 99 
145 154 99 
145 154 99 
146 155 100
146 155 100
146 155 100
145 156 98 
145 156 98 
145 156 98 
146 157 99 
146 157 99 
146 157 99 
146 157 99 
147 158 100
146 157 101
146 157 101
146 157 101
146 157 101
146 157 101
146 157 101
146 157 101
146 157 101
146 157 101
146 157 101
146 157 101
146 157 101
146 157 101
146 157 101
146 157 101
146 157 101
146 157 97 
146 157 97 
146 157 97 
146 157 97 
146 157 97 
146 157 97 
146 157 97 
146 157 97 
147 158 100
147 158 100
147 158 100
147 158 100
147 158 100
147 158 100
147 158 100
147 158 100
148 158 105
148 158 105
147 157 104
147 157 104
147 157 104
147 157 104
148 158 105
148 158 105
148 157 100
148 157 100
148 157 100
148 157 100
147 156 99 
147 156 99 
147 156 99 
147 156 99 
147 155 96 
146 154 95 
143 151 92 
141 149 89 
139 147 87 
139 148 85 
139 148 85 
139 148 85 
139 145 85 
138 144 84 
136 142 80 
135 141 79 
134 140 76 
131 137 73 
128 134 70 
125 131 67 
122 133 64 
119 130 61 
116 127 58 
112 125 55 
111 124 54 
109 125 54 
107 123 52 
106 122 51 
110 123 51 
108 124 51 
108 124 51 
108 124 51 
107 125 51 
107 125 51 
105 126 51 
105 126 51 
107 124 53 
107 124 53 
107 124 53 
107 124 53 
107 124 53 
107 124 53 
107 124 53 
107 124 53 
107 122 53 
108 123 54 
108 124 53 
109 125 54 
109 125 54 
108 124 51 
108 124 51 
107 123 50 
106 124 50 
105 123 49 
104 122 48 
103 121 47 
102 120 46 
102 120 46 
102 120 46 
102 120 46 
101 119 45 
101 119 45 
101 119 45 
100 118 44 
100 118 44 
100 118 44 
100 118 44 
100 118 44 
101 122 47 
102 123 48 
103 124 49 
104 124 52 
105 125 53 
106 126 54 
107 127 56 
108 128 57 
111 128 57 
111 128 57 
112 129 58 
112 129 58 
112 129 58 
112 129 58 
113 130 59 
113 130 59 
113 130 59 
113 130 59 
113 130 59 
113 130 59 
113 130 59 
113 130 59 
113 130 59 
113 130 59 
113 131 57 
113 131 57 
112 130 56 
112 130 56 
112 130 56 
112 130 56 
111 129 55 
111 129 55 
112 129 58 
112 129 58 
112 129 58 
112 129 58 
111 128 57 
110 127 56 
109 126 55 
108 125 54 
111 122 53 
111 122 53 
111 121 52 
110 120 51 
109 119 50 
110 117 49 
109 116 48 
109 116 48 
111 113 47 
112 113 47 
112 113 47 
111 111 47 
112 111 47 
111 109 48 
113 109 48 
113 109 48 
114 103 47 
114 103 47 
114 101 48 
115 99 47  
114 96 46  
112 94 44  
113 93 43  
112 91 44  
111 90 43  
109 88 41  
107 85 38  
107 83 39  
108 81 38  
107 79 39  
107 78 38  
107 75 36  
108 74 37  
108 74 37  
107 73 36  
107 71 35  
106 70 34  
108 70 34  
108 70 34  
109 71 35  
106 70 34  
106 70 34  
106 70 34  
106 70 34  
106 70 34  
106 70 34  
106 70 34  
106 70 34  
106 70 34  
106 70 34  
106 70 34  
106 70 34  
106 70 34  
106 70 34  
106 70 34  
106 70 34  
105 71 34  
105 71 34  
105 71 34  
105 71 34  
105 71 34  
105 71 34  
105 71 34  
105 71 34  
