24 5
255 16 0
255 0 255
255 0 255
255 0 255
255 255 255
255 255 255
255 255 0
255 255 0
128 128 128
128 128 128
128 128 128
128 128 128
128 128 128
0 0 0
0 0 255
0 0 255
0 0 0
0 255 0
0 255 0
0 0 0
0 0 0
255 0 0
255 0 0
255 0 0
254 255 0
255 255 255
255 255 255
255 0 255
255 255 255
255 255 0
255 255 255
255 255 0
128 128 128
128 128 128
128 128 128
128 128 128
128 128 128
0 0 255
0 0 0
0 0 255
0 0 0
0 0 0
0 0 0
0 255 0
0 0 0
255 0 0
0 0 0
255 0 0
20 255 0
255 0 255
255 0 255
255 0 255
255 255 255
255 255 255
255 255 0
255 255 0
128 128 128
255 255 255
255 255 255
255 255 255
128 128 128
0 0 255
0 0 0
0 0 255
0 0 0
0 255 0
0 255 0
0 255 0
0 0 0
255 0 0
255 0 0
255 0 0
0 14 255
255 0 255
255 255 255
255 255 255
255 255 255
255 255 0
255 255 255
255 255 0
128 128 128
128 128 128
128 128 128
128 128 128
128 128 128
0 0 255
0 0 0
0 0 255
0 0 0
0 255 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 0 0
255 0 237
255 0 255
255 0 255
255 0 255
255 255 255
255 255 255
255 255 0
255 255 0
128 128 128
128 128 128
128 128 128
128 128 128
128 128 128
0 0 0
0 0 255
0 0 255
0 0 0
0 0 0
0 255 0
0 255 0
0 0 0
0 0 0
0 0 0
255 0 0
