5 24
255 0 0
255 0 0
255 0 0
255 0 0
255 0 0
0 0 0
0 0 0
255 0 0
0 0 0
255 0 0
0 0 0
0 0 0
255 0 0
255 0 0
255 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 255 0
0 0 0
0 255 0
0 255 0
0 0 0
0 255 0
0 0 0
0 255 0
0 0 0
0 255 0
0 0 0
0 255 0
0 255 0
0 0 0
0 255 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 255
0 0 255
0 0 255
0 0 255
0 0 255
0 0 255
0 0 0
0 0 0
0 0 0
0 0 255
0 0 0
0 0 255
0 0 255
0 0 255
0 0 0
128 128 128
128 128 128
128 128 128
128 128 128
128 128 128
128 128 128
128 128 128
255 255 255
128 128 128
128 128 128
128 128 128
128 128 128
255 255 255
128 128 128
128 128 128
128 128 128
128 128 128
255 255 255
128 128 128
128 128 128
128 128 128
128 128 128
128 128 128
128 128 128
128 128 128
255 255 0
255 255 0
255 255 0
255 255 0
255 255 0
255 255 0
255 255 255
255 255 0
255 255 255
255 255 0
255 255 255
255 255 0
255 255 255
255 255 0
255 255 255
255 255 255
255 255 255
255 255 255
255 255 255
255 255 255
255 0 255
255 255 255
255 0 255
255 0 255
255 0 255
255 0 255
255 255 255
255 0 255
255 255 255
255 0 255
255 0 255
255 0 255
255 0 255
255 255 255
255 0 255
255 0 237
0 14 255
20 255 0
254 255 0
255 16 0
